Version,File Name,NR,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSet
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java,4.0,3.0,401.0,228.0,100.25,379.0,211.0,94.75,160.0,13.75,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,26.0,
4.0.0,hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/jmx/BKMBeanRegistry.java,2.0,1.0,89.0,84.0,44.5,88.0,84.0,44.0,84.0,4.0,
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerMXBean.java,1.0,1.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,17.0,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java,2.0,2.0,53.0,52.0,26.5,51.0,52.0,25.5,52.0,10.5,
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,hedwig-server/src/test/java/org/apache/hedwig/zookeeper/ZooKeeperTestBase.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,1.0,1.0,9.0,9.0,9.0,-1.0,0.0,-1.0,-1.0,27.0,
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
