dataset,#TrainingRelease,%training,%Defective in training,%Defective in testing,classifier,balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.bayes.NaiveBayes,no sampling,no selection,no cost sensitive,111.0,47.0,232.0,49.0,0.8256227758007118,0.8315412186379928,0.873252688172043,0.5266952674019002
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.bayes.NaiveBayes,no sampling,no selection,no cost sensitive,160.0,279.0,0.0,0.0,NaN,0.0,0.5,0.0
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.bayes.NaiveBayes,no sampling,no selection,no cost sensitive,160.0,183.0,96.0,0.0,1.0,0.34408602150537637,0.8773297491039427,0.27661471136443444
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.lazy.IBk,no sampling,no selection,sensitive threshold,136.0,78.0,201.0,24.0,0.8933333333333333,0.7204301075268817,0.7893145161290323,0.5321296470440725
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.lazy.IBk,no sampling,no selection,sensitive threshold,140.0,88.0,191.0,20.0,0.9052132701421801,0.6845878136200717,0.7797939068100358,0.5130838434046748
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.lazy.IBk,no sampling,no selection,sensitive threshold,140.0,88.0,191.0,20.0,0.9052132701421801,0.6845878136200717,0.7893145161290323,0.5130838434046748
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.trees.RandomForest,no sampling,no selection,sensitive learning,145.0,81.0,198.0,15.0,0.9295774647887324,0.7096774193548387,0.9042562724014337,0.5661251467045525
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.trees.RandomForest,no sampling,no selection,sensitive learning,160.0,279.0,0.0,0.0,NaN,0.0,0.5,0.0
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.trees.RandomForest,no sampling,no selection,sensitive learning,160.0,279.0,0.0,0.0,NaN,0.0,0.9013440860215054,0.0
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.bayes.NaiveBayes,no sampling,best first,no cost sensitive,111.0,47.0,232.0,49.0,0.8256227758007118,0.8315412186379928,0.873252688172043,0.5266952674019002
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.bayes.NaiveBayes,no sampling,best first,no cost sensitive,160.0,279.0,0.0,0.0,NaN,0.0,0.5,0.0
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.bayes.NaiveBayes,no sampling,best first,no cost sensitive,160.0,183.0,96.0,0.0,1.0,0.34408602150537637,0.8773297491039427,0.27661471136443444
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.lazy.IBk,no sampling,best first,sensitive threshold,136.0,78.0,201.0,24.0,0.8933333333333333,0.7204301075268817,0.7893145161290323,0.5321296470440725
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.lazy.IBk,no sampling,best first,sensitive threshold,140.0,88.0,191.0,20.0,0.9052132701421801,0.6845878136200717,0.7797939068100358,0.5130838434046748
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.lazy.IBk,no sampling,best first,sensitive threshold,140.0,88.0,191.0,20.0,0.9052132701421801,0.6845878136200717,0.7893145161290323,0.5130838434046748
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.trees.RandomForest,no sampling,best first,sensitive learning,145.0,81.0,198.0,15.0,0.9295774647887324,0.7096774193548387,0.9042562724014337,0.5661251467045525
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.trees.RandomForest,no sampling,best first,sensitive learning,160.0,279.0,0.0,0.0,NaN,0.0,0.5,0.0
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.trees.RandomForest,no sampling,best first,sensitive learning,160.0,279.0,0.0,0.0,NaN,0.0,0.9013440860215054,0.0
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.bayes.NaiveBayes,undersampling,no selection,no cost sensitive,111.0,47.0,232.0,49.0,0.8256227758007118,0.8315412186379928,0.873252688172043,0.5266952674019002
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.bayes.NaiveBayes,undersampling,no selection,no cost sensitive,160.0,279.0,0.0,0.0,NaN,0.0,0.5,0.0
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.bayes.NaiveBayes,undersampling,no selection,no cost sensitive,160.0,183.0,96.0,0.0,1.0,0.34408602150537637,0.8773297491039427,0.27661471136443444
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.lazy.IBk,undersampling,no selection,sensitive threshold,136.0,78.0,201.0,24.0,0.8933333333333333,0.7204301075268817,0.7893145161290323,0.5321296470440725
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.lazy.IBk,undersampling,no selection,sensitive threshold,140.0,88.0,191.0,20.0,0.9052132701421801,0.6845878136200717,0.7797939068100358,0.5130838434046748
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.lazy.IBk,undersampling,no selection,sensitive threshold,140.0,88.0,191.0,20.0,0.9052132701421801,0.6845878136200717,0.7893145161290323,0.5130838434046748
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.trees.RandomForest,undersampling,no selection,sensitive learning,145.0,81.0,198.0,15.0,0.9295774647887324,0.7096774193548387,0.9042562724014337,0.5661251467045525
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.trees.RandomForest,undersampling,no selection,sensitive learning,160.0,279.0,0.0,0.0,NaN,0.0,0.5,0.0
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.trees.RandomForest,undersampling,no selection,sensitive learning,160.0,279.0,0.0,0.0,NaN,0.0,0.9013440860215054,0.0
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.bayes.NaiveBayes,undersampling,best first,no cost sensitive,111.0,47.0,232.0,49.0,0.8256227758007118,0.8315412186379928,0.873252688172043,0.5266952674019002
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.bayes.NaiveBayes,undersampling,best first,no cost sensitive,160.0,279.0,0.0,0.0,NaN,0.0,0.5,0.0
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.bayes.NaiveBayes,undersampling,best first,no cost sensitive,160.0,183.0,96.0,0.0,1.0,0.34408602150537637,0.8773297491039427,0.27661471136443444
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.lazy.IBk,undersampling,best first,sensitive threshold,136.0,78.0,201.0,24.0,0.8933333333333333,0.7204301075268817,0.7893145161290323,0.5321296470440725
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.lazy.IBk,undersampling,best first,sensitive threshold,140.0,88.0,191.0,20.0,0.9052132701421801,0.6845878136200717,0.7797939068100358,0.5130838434046748
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.lazy.IBk,undersampling,best first,sensitive threshold,140.0,88.0,191.0,20.0,0.9052132701421801,0.6845878136200717,0.7893145161290323,0.5130838434046748
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.trees.RandomForest,undersampling,best first,sensitive learning,145.0,81.0,198.0,15.0,0.9295774647887324,0.7096774193548387,0.9042562724014337,0.5661251467045525
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.trees.RandomForest,undersampling,best first,sensitive learning,160.0,279.0,0.0,0.0,NaN,0.0,0.5,0.0
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.trees.RandomForest,undersampling,best first,sensitive learning,160.0,279.0,0.0,0.0,NaN,0.0,0.9013440860215054,0.0
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.bayes.NaiveBayes,oversampling,no selection,no cost sensitive,111.0,47.0,232.0,49.0,0.8256227758007118,0.8315412186379928,0.873252688172043,0.5266952674019002
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.bayes.NaiveBayes,oversampling,no selection,no cost sensitive,160.0,279.0,0.0,0.0,NaN,0.0,0.5,0.0
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.bayes.NaiveBayes,oversampling,no selection,no cost sensitive,160.0,183.0,96.0,0.0,1.0,0.34408602150537637,0.8773297491039427,0.27661471136443444
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.lazy.IBk,oversampling,no selection,sensitive threshold,136.0,78.0,201.0,24.0,0.8933333333333333,0.7204301075268817,0.7893145161290323,0.5321296470440725
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.lazy.IBk,oversampling,no selection,sensitive threshold,140.0,88.0,191.0,20.0,0.9052132701421801,0.6845878136200717,0.7797939068100358,0.5130838434046748
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.lazy.IBk,oversampling,no selection,sensitive threshold,140.0,88.0,191.0,20.0,0.9052132701421801,0.6845878136200717,0.7893145161290323,0.5130838434046748
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.trees.RandomForest,oversampling,no selection,sensitive learning,145.0,81.0,198.0,15.0,0.9295774647887324,0.7096774193548387,0.9042562724014337,0.5661251467045525
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.trees.RandomForest,oversampling,no selection,sensitive learning,160.0,279.0,0.0,0.0,NaN,0.0,0.5,0.0
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.trees.RandomForest,oversampling,no selection,sensitive learning,160.0,279.0,0.0,0.0,NaN,0.0,0.9013440860215054,0.0
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.bayes.NaiveBayes,oversampling,best first,no cost sensitive,111.0,47.0,232.0,49.0,0.8256227758007118,0.8315412186379928,0.873252688172043,0.5266952674019002
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.bayes.NaiveBayes,oversampling,best first,no cost sensitive,160.0,279.0,0.0,0.0,NaN,0.0,0.5,0.0
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.bayes.NaiveBayes,oversampling,best first,no cost sensitive,160.0,183.0,96.0,0.0,1.0,0.34408602150537637,0.8773297491039427,0.27661471136443444
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.lazy.IBk,oversampling,best first,sensitive threshold,136.0,78.0,201.0,24.0,0.8933333333333333,0.7204301075268817,0.7893145161290323,0.5321296470440725
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.lazy.IBk,oversampling,best first,sensitive threshold,140.0,88.0,191.0,20.0,0.9052132701421801,0.6845878136200717,0.7797939068100358,0.5130838434046748
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.lazy.IBk,oversampling,best first,sensitive threshold,140.0,88.0,191.0,20.0,0.9052132701421801,0.6845878136200717,0.7893145161290323,0.5130838434046748
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.trees.RandomForest,oversampling,best first,sensitive learning,145.0,81.0,198.0,15.0,0.9295774647887324,0.7096774193548387,0.9042562724014337,0.5661251467045525
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.trees.RandomForest,oversampling,best first,sensitive learning,160.0,279.0,0.0,0.0,NaN,0.0,0.5,0.0
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.trees.RandomForest,oversampling,best first,sensitive learning,160.0,279.0,0.0,0.0,NaN,0.0,0.9013440860215054,0.0
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.bayes.NaiveBayes,smote,no selection,no cost sensitive,111.0,47.0,232.0,49.0,0.8256227758007118,0.8315412186379928,0.873252688172043,0.5266952674019002
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.bayes.NaiveBayes,smote,no selection,no cost sensitive,160.0,279.0,0.0,0.0,NaN,0.0,0.5,0.0
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.bayes.NaiveBayes,smote,no selection,no cost sensitive,160.0,183.0,96.0,0.0,1.0,0.34408602150537637,0.8773297491039427,0.27661471136443444
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.lazy.IBk,smote,no selection,sensitive threshold,136.0,78.0,201.0,24.0,0.8933333333333333,0.7204301075268817,0.7893145161290323,0.5321296470440725
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.lazy.IBk,smote,no selection,sensitive threshold,140.0,88.0,191.0,20.0,0.9052132701421801,0.6845878136200717,0.7797939068100358,0.5130838434046748
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.lazy.IBk,smote,no selection,sensitive threshold,140.0,88.0,191.0,20.0,0.9052132701421801,0.6845878136200717,0.7893145161290323,0.5130838434046748
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.trees.RandomForest,smote,no selection,sensitive learning,145.0,81.0,198.0,15.0,0.9295774647887324,0.7096774193548387,0.9042562724014337,0.5661251467045525
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.trees.RandomForest,smote,no selection,sensitive learning,160.0,279.0,0.0,0.0,NaN,0.0,0.5,0.0
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.trees.RandomForest,smote,no selection,sensitive learning,160.0,279.0,0.0,0.0,NaN,0.0,0.9013440860215054,0.0
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.bayes.NaiveBayes,smote,best first,no cost sensitive,111.0,47.0,232.0,49.0,0.8256227758007118,0.8315412186379928,0.873252688172043,0.5266952674019002
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.bayes.NaiveBayes,smote,best first,no cost sensitive,160.0,279.0,0.0,0.0,NaN,0.0,0.5,0.0
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.bayes.NaiveBayes,smote,best first,no cost sensitive,160.0,183.0,96.0,0.0,1.0,0.34408602150537637,0.8773297491039427,0.27661471136443444
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.lazy.IBk,smote,best first,sensitive threshold,136.0,78.0,201.0,24.0,0.8933333333333333,0.7204301075268817,0.7893145161290323,0.5321296470440725
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.lazy.IBk,smote,best first,sensitive threshold,140.0,88.0,191.0,20.0,0.9052132701421801,0.6845878136200717,0.7797939068100358,0.5130838434046748
BOOKKEEPER,1,8.106652,45.847176,36.44647,weka.classifiers.lazy.IBk,smote,best first,sensitive threshold,140.0,88.0,191.0,20.0,0.9052132701421801,0.6845878136200717,0.7893145161290323,0.5130838434046748
